region,kjønn,alder,år,statistikkvariabel,"07459: Befolkning, etter region, kjønn, alder, år og statistikkvariabel"
3105 Sarpsborg,1 Menn,F55-59 55-59 år,2025,Personer,2126
3105 Sarpsborg,1 Menn,F60-64 60-64 år,2025,Personer,1803
3105 Sarpsborg,1 Menn,F65-69 65-69 år,2025,Personer,1624
3105 Sarpsborg,1 Menn,F70-74 70-74 år,2025,Personer,1365
3105 Sarpsborg,1 Menn,F75-79 75-79 år,2025,Personer,1300
3105 Sarpsborg,1 Menn,F80-84 80-84 år,2025,Personer,717
3105 Sarpsborg,1 Menn,F85-89 85-89 år,2025,Personer,357
3105 Sarpsborg,1 Menn,F90-94 90-94 år,2025,Personer,103
3105 Sarpsborg,1 Menn,F95-99 95-99 år,2025,Personer,21
3105 Sarpsborg,1 Menn,F100G5+ 100 år eller eldre,2025,Personer,4
3107 Fredrikstad,2 Kvinner,F00-04 0-4 år,2025,Personer,1863
3107 Fredrikstad,2 Kvinner,F05-09 5-9 år,2025,Personer,2172
3107 Fredrikstad,2 Kvinner,F10-14 10-14 år,2025,Personer,2334
3107 Fredrikstad,2 Kvinner,F15-19 15-19 år,2025,Personer,2589
3107 Fredrikstad,2 Kvinner,F20-24 20-24 år,2025,Personer,2271
3107 Fredrikstad,2 Kvinner,F25-29 25-29 år,2025,Personer,2423
3107 Fredrikstad,2 Kvinner,F30-34 30-34 år,2025,Personer,2661
3107 Fredrikstad,2 Kvinner,F35-39 35-39 år,2025,Personer,2732
3107 Fredrikstad,2 Kvinner,F40-44 40-44 år,2025,Personer,2664
3107 Fredrikstad,2 Kvinner,F45-49 45-49 år,2025,Personer,2667
3107 Fredrikstad,2 Kvinner,F50-54 50-54 år,2025,Personer,3157
3107 Fredrikstad,2 Kvinner,F55-59 55-59 år,2025,Personer,3168
3107 Fredrikstad,2 Kvinner,F60-64 60-64 år,2025,Personer,2715
3107 Fredrikstad,2 Kvinner,F65-69 65-69 år,2025,Personer,2619
3107 Fredrikstad,2 Kvinner,F70-74 70-74 år,2025,Personer,2293
3107 Fredrikstad,2 Kvinner,F75-79 75-79 år,2025,Personer,2094
3107 Fredrikstad,2 Kvinner,F80-84 80-84 år,2025,Personer,1308
3107 Fredrikstad,2 Kvinner,F85-89 85-89 år,2025,Personer,782
3107 Fredrikstad,2 Kvinner,F90-94 90-94 år,2025,Personer,361
3107 Fredrikstad,2 Kvinner,F95-99 95-99 år,2025,Personer,88
3107 Fredrikstad,2 Kvinner,F100G5+ 100 år eller eldre,2025,Personer,8
3107 Fredrikstad,1 Menn,F00-04 0-4 år,2025,Personer,1882
3107 Fredrikstad,1 Menn,F05-09 5-9 år,2025,Personer,2294
3107 Fredrikstad,1 Menn,F10-14 10-14 år,2025,Personer,2519
3107 Fredrikstad,1 Menn,F15-19 15-19 år,2025,Personer,2811
3107 Fredrikstad,1 Menn,F20-24 20-24 år,2025,Personer,2617
3107 Fredrikstad,1 Menn,F25-29 25-29 år,2025,Personer,2475
3107 Fredrikstad,1 Menn,F30-34 30-34 år,2025,Personer,2834
3107 Fredrikstad,1 Menn,F35-39 35-39 år,2025,Personer,2804
3107 Fredrikstad,1 Menn,F40-44 40-44 år,2025,Personer,2530
3107 Fredrikstad,1 Menn,F45-49 45-49 år,2025,Personer,2713
3107 Fredrikstad,1 Menn,F50-54 50-54 år,2025,Personer,3030
3107 Fredrikstad,1 Menn,F55-59 55-59 år,2025,Personer,3167
3107 Fredrikstad,1 Menn,F60-64 60-64 år,2025,Personer,2833
3107 Fredrikstad,1 Menn,F65-69 65-69 år,2025,Personer,2540
3107 Fredrikstad,1 Menn,F70-74 70-74 år,2025,Personer,2122
3107 Fredrikstad,1 Menn,F75-79 75-79 år,2025,Personer,1887
3107 Fredrikstad,1 Menn,F80-84 80-84 år,2025,Personer,1087
3107 Fredrikstad,1 Menn,F85-89 85-89 år,2025,Personer,535
3107 Fredrikstad,1 Menn,F90-94 90-94 år,2025,Personer,178
3107 Fredrikstad,1 Menn,F95-99 95-99 år,2025,Personer,32
